timestamp_iso,icmp_host,icmp_avg_ms,icmp_loss_pct,speedtest_server,speedtest_latency_ms,download_mbps,upload_mbps,action_taken,post_speedtest_latency_ms,post_download_mbps,post_upload_mbps,note
2026-03-25T10:46:03,8.8.8.8,1008.7,0,,,,,NONE,,,,[Speedtest Failed]
2026-03-25T10:47:57,8.8.8.8,1071.5,0,,,,,NONE,,,,[Speedtest Failed]
2026-03-25T10:56:20,8.8.8.8,982.3,0,BRSK (London),1103.1,4.95,2.94,NONE,,,,[Below Threshold][No Reset]
2026-03-25T11:02:35,8.8.8.8,,,,,,,NONE,,,,[Speedtest Failed]
2026-03-25T11:04:58,8.8.8.8,,,"Highline (Allen, KS)",874.3,2.52,2.81,PPP_RESET_SKIPPED_WINDOW,,,,[Below Threshold][Window Skip]
2026-03-25T11:08:35,8.8.8.8,,,"IdeaTek Telcom (Wichita, KS)",972.6,1.60,2.29,NONE,,,,[Below Threshold][No Reset]
2026-03-25T11:13:05,8.8.8.8,,,"IdeaTek Telcom (Wichita, KS)",878.2,1.47,2.06,NONE,,,,[Below Threshold][No Reset]
2026-03-25T11:15:10,8.8.8.8,,,"IdeaTek Telcom (Wichita, KS)",1017.0,2.22,2.30,NONE,,,,[Below Threshold][No Reset]
2026-03-25T11:21:17,8.8.8.8,,,"Fort Hays State Univ (Hays, KS)",1027.7,2.15,2.39,NONE,,,,[Below Threshold][No Reset]
2026-03-25T11:27:24,8.8.8.8,,,"Fort Hays State Univ (Hays, KS)",938.6,2.15,2.86,NONE,,,,[Below Threshold][No Reset]
2026-03-25T11:33:32,8.8.8.8,,,"Highline (Allen, KS)",988.4,1.92,2.62,NONE,,,,[Below Threshold][No Reset]
2026-03-25T11:39:36,8.8.8.8,,,"IdeaTek Telcom (Wichita, KS)",1187.5,1.86,1.18,NONE,,,,[Below Threshold][No Reset]
2026-03-25T11:45:42,8.8.8.8,,,"Kansas Research and Education Network (Wichita, KS)",972.1,2.27,2.41,NONE,,,,[Below Threshold][No Reset]
2026-03-25T11:51:48,8.8.8.8,,,"Highline (Allen, KS)",979.5,2.03,2.75,NONE,,,,[Below Threshold][No Reset]
